<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200206;150000;1.1000100;1.1003500;1.0995000;1.1002400;54944
20200206;160000;1.1002300;1.1004300;1.0997000;1.1001600;72211
20200206;170000;1.1001600;1.1001600;1.0987900;1.0988800;72583
20200206;180000;1.0988200;1.0991100;1.0963000;1.0976500;139018
20200206;190000;1.0976600;1.0983600;1.0971000;1.0977000;110672
20200206;200000;1.0977800;1.0980400;1.0973000;1.0975000;61737
20200206;210000;1.0975000;1.0977300;1.0970000;1.0972000;35896
20200206;220000;1.0972800;1.0977500;1.0969000;1.0976800;39120
20200206;230000;1.0976900;1.0982400;1.0975000;1.0978800;40279
20200207;000000;1.0978700;1.0982800;1.0977000;1.0982500;16276
20200207;010000;1.0980200;1.0983000;1.0975400;1.0980000;20520
20200207;020000;1.0980800;1.0981600;1.0978000;1.0980700;12966
20200207;030000;1.0980800;1.0982000;1.0976000;1.0981500;26790
20200207;040000;1.0981500;1.0983200;1.0978000;1.0983000;59229
20200207;050000;1.0983000;1.0984700;1.0980000;1.0984400;44050
20200207;060000;1.0984500;1.0985000;1.0981000;1.0983000;33218
20200207;070000;1.0983200;1.0983300;1.0977000;1.0980500;32803
20200207;080000;1.0981300;1.0983500;1.0979000;1.0980800;33468
20200207;090000;1.0980900;1.0982500;1.0975000;1.0977500;53620
20200207;100000;1.0977700;1.0978400;1.0965000;1.0966700;99921
20200207;110000;1.0966800;1.0971200;1.0955000;1.0958300;105409
20200207;120000;1.0958400;1.0964700;1.0952000;1.0954200;80066
20200207;130000;1.0954400;1.0957000;1.0946000;1.0953900;78675
20200207;140000;1.0953900;1.0958100;1.0949000;1.0951800;56511
20200207;150000;1.0951800;1.0965000;1.0949000;1.0964500;55739
20200207;160000;1.0964600;1.0971000;1.0953600;1.0958200;137735
20200207;170000;1.0958200;1.0973600;1.0947700;1.0971300;107839
20200207;180000;1.0971400;1.0976400;1.0956000;1.0963300;135322
20200207;190000;1.0963300;1.0965300;1.0945000;1.0949300;96983
20200207;200000;1.0949500;1.0950000;1.0940000;1.0942000;47394
20200207;210000;1.0942800;1.0949400;1.0941000;1.0943800;43522
20200207;220000;1.0942900;1.0949000;1.0942000;1.0946200;42061
20200207;230000;1.0946200;1.0948000;1.0942000;1.0946500;26840
20200208;000000;1.0947300;1.0947700;1.0941000;1.0943900;28983
20200208;010000;1.0943400;1.0944000;1.0943400;1.0944000;2
20200209;210000;1.0946700;1.0951400;1.0946700;1.0948200;11
20200209;220000;1.0948200;1.0948200;1.0943000;1.0945000;91
20200209;230000;1.0945000;1.0948100;1.0944000;1.0945000;74
20200210;000000;1.0945900;1.0948100;1.0944000;1.0944000;121
20200210;010000;1.0943500;1.0946000;1.0940100;1.0943500;15970
20200210;020000;1.0943600;1.0950700;1.0941000;1.0949000;42291
20200210;030000;1.0948400;1.0953100;1.0946000;1.0952000;39138
20200210;040000;1.0952500;1.0953400;1.0947000;1.0950200;37580
20200210;050000;1.0950500;1.0954200;1.0949000;1.0952000;39692
20200210;060000;1.0952900;1.0954100;1.0948000;1.0951800;32709
